,online_order,book_table,votes,location,rest_type,cuisines,cost,menu_item,rate
0,1,1,775,1,20,1386,800,5047,4.1
1,1,0,787,1,20,594,800,5047,4.1
2,1,0,918,1,16,484,800,5047,3.8
3,0,0,88,1,62,1587,300,5047,3.7
4,0,0,166,4,20,1406,600,5047,3.8
5,1,0,286,4,20,1156,600,5047,3.8
6,1,1,2556,1,22,1468,600,5047,4.6
7,1,0,324,1,13,462,700,5047,4
8,1,0,504,1,13,485,550,5047,4.2
9,1,0,402,1,13,332,500,5047,4.1
10,1,1,150,1,13,462,600,5047,4.2
11,1,1,164,1,13,380,500,5047,4.2
12,0,0,424,1,13,383,450,5047,4
13,1,0,918,1,16,484,800,5047,3.8
14,1,0,90,1,13,332,650,5047,3.8
15,1,0,133,1,13,441,800,5047,3.9
16,1,0,144,1,13,533,700,5047,3.8
17,0,0,93,1,13,456,300,5047,3.9
18,1,0,62,1,13,444,400,5047,3
19,1,0,180,1,13,496,500,5047,3.7
20,1,0,62,1,65,985,600,5047,3.6
21,0,0,148,4,22,1194,550,5047,3.8
22,1,0,219,4,13,455,600,5047,4
23,1,0,506,1,62,1332,500,5047,2.8
24,1,0,172,1,29,1465,750,5047,3.9
25,1,0,415,1,62,1190,500,1672,4.2
26,1,0,230,1,29,235,650,5047,3.9
27,1,0,1647,1,20,609,600,5047,4.2
28,1,0,4884,30,20,1402,750,5047,4.4
29,1,0,133,4,62,1636,200,5047,3.8
30,1,0,286,1,62,322,500,5047,3.9
31,1,0,540,1,62,1474,800,5047,3.9
32,1,1,2556,1,22,1468,600,5047,4.6
33,0,0,36,1,29,1314,400,5047,3.8
34,1,0,244,46,62,1196,300,165,3.6
35,1,0,804,46,20,1218,450,4709,4
36,1,0,679,63,20,604,850,5047,3.7
37,1,0,245,46,62,1257,300,4683,3.1
38,0,0,345,1,30,956,400,5047,4.3
39,1,0,618,30,20,288,750,5047,4
40,0,0,1047,1,62,980,450,5047,4
41,1,0,627,1,29,923,450,14,3.9
42,1,1,354,1,20,151,800,5047,4.2
43,0,0,244,1,20,1000,800,5047,4.2
44,1,1,163,46,20,915,800,5047,3.6
45,0,1,808,1,20,1196,850,5047,4
46,1,0,1720,4,62,1355,400,5047,4.1
47,0,0,868,1,57,704,1200,5047,4.1
48,0,0,520,1,62,248,300,5047,4.1
49,0,0,299,1,62,868,300,5047,3.6
50,1,0,558,4,62,1547,150,537,4.1
51,0,0,39,1,62,1563,350,5047,3.8
52,1,0,146,1,9,215,400,5047,4.2
53,1,0,4401,30,20,286,600,5047,4.4
54,0,0,283,1,20,1156,600,5047,2.6
55,0,0,62,1,4,1589,800,5047,3.3
56,0,0,65,1,62,873,300,5047,3.7
57,1,0,71,4,30,959,400,5047,3.8
58,0,0,52,1,62,1547,300,5047,3.5
59,0,0,130,1,62,1547,200,5047,3.7
60,0,0,45,1,72,175,400,5047,3.8
61,1,0,201,1,62,1597,300,3461,4.1
62,1,0,771,1,20,1589,450,4550,4
63,0,0,98,1,4,1196,800,5047,3
64,1,1,175,30,20,1591,500,2674,4.1
65,1,0,540,4,20,1353,650,5047,3.8
